RestaurantID,Cuisine,Rating,NumberOfReview,Recommended
"ojbH3wnRu050hRhkmoxRiA","Szechuan",4,405,1
"sMoKKcyUslHmHe0NmCYgfg","Indian",4,206,1
"i6RhqnCJ_oUfTu5LikGXUg","Chinese",4.5,11,1
"rPTX2J5KGDkN1QhPD_QOvg","Chinese",4.5,51,1
"6tASYtO9zOrXr8_LPnAToQ","Szechuan",4,326,1
"LpVbI_E9C_CSp7WhU5h2Iw","Seafood",4.5,422,1
"V9cBgn2RFLurwg6lwuLH7w","Chinese",4,190,1
"dDXtga5Kgo5B1twdezcZJA","Chinese",4,271,1
"jc7lVTvmYMIK5RNpENtS6w","Szechuan",4,97,1
"ZCAkVl5SeCDeBWg_xjfYeg","Chinese",4.5,59,1
"w3wKbjuNCZnYoPOr_FCk5w","Chinese",4.5,53,1
"Q1TpfbuPwKPFrNFyu_u2_g","Chinese",4,85,1
"0k678lCWQyReNi0lARlOmw","Shanghainese",4,471,1
"bVkjBJlAIwKAj9Aw1KVWjA","Dim Sum",4,648,1
"iSjPBJRiWqrgxW7ZM3CGig","Szechuan",4,157,1
"SVJNB9LqI13jtVyKMZVqeg","Chinese",3.5,376,1
"lSrdxUNxyMgh5YU903JUiw","Shanghainese",4,101,1
"Kqb7MjTPNkjPMoFRd_rWpw","Chinese",4,386,1
"U2aUFZARLeSMf4RQIxjuTw","Chinese",4.5,70,1
"xCHApgtkLpEyh0lz_uhZvg","Szechuan",4,190,1
"AvTezlpt3GXTdSEnXbHP4w","Chinese",4,314,1
"BkXb82Y2OIsQ5RpNNQOYmQ","Chinese",4,89,1
"R26zweQ8_xoZS7iHkXQOvw","Shanghainese",4,1290,1
"oowNI_aUmGEFa_VW8BFgRg","Shanghainese",4,150,1
"ynB8T3htx8s5V0YV8gVPGA","Shanghainese",4,359,1
"LqMHxKckcnSRWrJ6T_irnw","Chinese",3.5,66,1
"8xDbEfYXuPwi_94LLcb22A","Chinese",4,50,1
"3fQ9IExhN9KMqGHVm_9AEQ","Chinese",4,46,1
"K0qsGnFv_edPDqVBdLCocQ","Chinese",4,55,1
"SBJHGtqJyfaU47NPjGAU6A","Chinese",4,67,1
"7_Dwf153h3_waVtmfYd8QQ","Szechuan",4,181,1
"f7QVr9xC8UWXdVz9QvbmNg","Pan Asian",5,50,1
"DpfE0gPBXj_aj2pnEh4E2Q","Chinese",4,100,1
"HScFap2SwbUlfC_QXVkxFA","Chinese",4,1310,1
"k_y6o8zqI3cODdKABwWZ9g","Chinese",5,5,1
"lgS9lE0Y9FhzT68zCj5QCw","Chinese",3.5,167,1
"QQfwlKFD6X8_ZXf7gfQZqg","Chinese",4.5,16,1
"3W6S2wraTAj5y4Cd8eQvvw","Chinese",4,111,1
"bnDfFdiCcPzhuNWUJORvLQ","Chinese",4,778,1
"lQ8Fzgji9qmgRXkFcvAsVQ","Chinese",4,179,1
"_Bh1oJYcf7XmmznR91jX_A","Chinese",4,23,1
"douRKPVxuo8BEOkMxgVl_w","Chinese",4,50,1
"R7EGjHWw0tNheY6_ahH8fQ","American (New)",4.5,327,1
"5YBYGnZtTGJABXC4Jahhzg","Shanghainese",4,156,1
"Gd3_3mxOvj2xYiqysV8rbQ","Chinese",4,1462,1
"MzA6gitJKqfW4VrdS7AiQw","Chinese",4.5,47,1
"MdDj13LgIs0WdbIdiyqB7Q","Chinese",4,165,1
"YIwYw_A_LRwK66HBTzogYQ","Chinese",4,70,1
"BPErPpKSNluwcjbKRgze3w","Chinese",4,387,1
"AJKcsxpc9IthvhdEnfqogg","Chinese",3.5,95,1
"rsbjGGa8kh14ZWYSnK5rGQ","Chinese",4,104,0
"ieOIBz6Gfqmwm1B0wUzh9g","Chinese",4.5,379,0
"3gqKLANaXNsHZnPDjKrcTg","Taiwanese",4.5,230,0
"BbODF2tZuw4xW_RFwMzwRg","Chinese",3.5,12,0
"uiQ6p_3biJD5S4PrF58t_g","Szechuan",3.5,837,0
"H1jops1lmuhrq9lP7lEGJQ","Chinese",4,1046,0
"OQ93Z1tAmdPqK7twEEvISA","Chinese",3.5,20,0
"qGgQMVExGERqGhZNDM2ROg","Szechuan",3.5,448,0
"oD0mN9vXuc1gFRyw1CG_Pw","Chinese",4,19,0
"I_Va7AZSHpEwX75S_3hHLQ","Chinese",4,118,0
"AfF4zVbVI27zwgkzOLYDFg","Chinese",4,176,0
"YdAtCf_13UK_uvXuOMrhNg","Chinese",4,139,0
"BcOuqkUniZJG5NLpdzeOYQ","Chinese",3.5,51,0
"9FwX2ye1eCxnPVoQOHHr3g","Dim Sum",4.5,129,0
"_7PgxPVUGZh__U3CxRFKxg","Chinese",4,94,0
"jwKPVep2qZYBUA6SLLQPvg","Chinese",3.5,174,0
"tDYk6DmmU3buWBs9G0NBXQ","Chinese",4,55,0
"_eWN3zih_cnY0fiLWva9EA","Chinese",4.5,20,0
"bcqTacyE_0XDaZYG_xbTBQ","Noodles",4,231,0
"zdX9mwhoknXXYL1GCstnow","Chinese",4,9,0
"l44CFBTejwL0ElKmkH7xQQ","Chinese",4,295,0
"WRPJeH3goSpj5ke3Pkrnfw","Chinese",4,143,0
"6oQKDCJrgDffPKXPTPBXlA","Chinese",4,61,0
"pBNMZp_tKCAfRNx7_ybcHQ","Cuban",4.5,195,0
"A_ert0jDRBfku9ogyW_mEg","Chinese",4.5,169,0
"5rX_7IkvFx5MKqS3ikQe3Q","Chinese",3,95,0
"Aux2Mp7bGnF3S6h60ab3iQ","Chinese",4,26,0
"2UAvRLaWMc8lYE4FZSPhrA","Chinese",4.5,6,0
"tfMPbnQqJ1P1RIab_o6gtg","Chinese",3.5,219,0
"tA_AoGEL_oGllbU2j77Shw","Shanghainese",5,22,0
"EFihj7vsRRXiF5la_UURyw","Seafood",3.5,689,0
"P2bxlKAmRWZIpHdJ_JT3fg","Dim Sum",4,590,0
"tsHdT1GDibhYYA0JA7Z9tg","Noodles",4,268,0
"pMgk7E6bCG5Aj2sLuowobw","Chinese",3.5,55,0
"Xr8jXXafb0tG5oAoS07Jbg","Chinese",4.5,17,0
"wDuf4Qz9qsC62amLZgWNJQ","Shanghainese",4,147,0
"HjUwZOlok1TabhS4S1ya2w","Noodles",4.5,76,0
"Bwj7nzWphGV6FaZ_ygTSOg","Chinese",3.5,115,0
"WIj12zDqIbBucW1hXYhrew","Chinese",4,160,0
"kwqOmEwWJ0D9PyCdFGE3_g","Chinese",4,524,0
"1dFOF1HPaThSCsdiqR7DrA","Chinese",3.5,267,0
"Yb6PQ_4YQpJ0SVZ1tetkbg","Seafood",3.5,104,0
"poRWXhCG1_mVxs1kuw_ZEg","Chinese",3,161,0
"ZdLS7gD1ulmCPkqNc9_S3A","Szechuan",3.5,105,0
"LwEzFDBX_nUHYHgAddfaxA","Szechuan",3,318,0
"k34VgKhpuIRPEr8vKSMwjA","Chinese",4,18,0
"RoPrfBqmRTqw_cBqcWAfYA","Dim Sum",4,127,0
"oe8GEFE4QLFAKt87y7zcgA","Taiwanese",4,471,0
"9gktK6DNHb3k0y_o6nP7pA","Chinese",3.5,56,0
"BLYomPDQX5HkNWFJ2Lxfpg","Chinese",3,88,0
"5uTJ_4fWfT1ImuwCLN9xGA","Shanghainese",3,309,0
"YfJZBmm9tfW__W_WIGReqA","Chinese",4,22,0
"XfHgiIsoo1Pr_v04bx9ptg","Sushi Bars",4.5,72,0
"8FJ8XVa_duF8rPeyfscUPg","Chinese",3.5,111,0
"5FbVGhTO8U4wh0AATsN9tA","Chinese",4,18,0
"CKG7LVmSlvI93scyb1aVeg","Chinese",3.5,161,0
"d1pRHsBuYCZ4hdk0dyjE_g","Chinese",4,40,0
"a5Ei7GYvlXCDv_j3q1lBLg","Chinese",4,12,0
"aZMVSzm1ypJOkRsLVaMUVA","Chinese",4,5,0
"g42C_GsiLWzbVY2OZQsoyw","Chinese",4,11,0
"MXstrG3HjF83LcxAd8OpTw","Cantonese",4,46,0
"lbZqfX4vvCr1aMLuEey3Ag","Chinese",3.5,14,0
"IgTNgGE0qvTjkmCUzrNwtQ","Chinese",3.5,220,0
"YE2FPm9o32ojTG2_1pJBYw","Chinese",5,4,0
"dRKdRpPEo6rJ2X0RYbfZzQ","Chinese",4,62,0
"neQM053ovAOrf1sVSAPI9w","Asian Fusion",4,769,0
"G9uSeXMXv6QB8ZEQeOhYVA","Chinese",4,16,0
"sgKNAn72O2XMQXS6AWmf9w","Chinese",4,74,0
"E1fFQqXuO2Ido9hGDmTbDg","Chinese",4.5,10,0
"BAKjtydOJj6KrsGCo_6DEQ","Chinese",4.5,12,0
"bSi2f2TaOr4RVTI5eFt0wQ","Chinese",3,170,0
"rYw5rQbWRX9buZHZbxqWdA","Cantonese",3.5,1354,0
"WEa266y5CsANNqvyfG7elA","Chinese",5,4,0
"dv_RaOwKFizDe4c5_sVJ5w","Chinese",4,209,0
"GmtybiZEicQ4qqPTzhqVew","Chinese",3.5,49,0
"oXkCGBRjP_qERDlEgPlwxQ","Dim Sum",4,77,0
"_bBJi79fbtWRzcs_rsU6ag","Chinese",3.5,7,0
"hh0W5CPtx2MoyQGb1kAEEA","Chinese",4,169,0
"7Ap1bmY3u_uM9L63fy0g7A","Chinese",4,5,0
"zPK48x2wvTmJTQ_13bbeRQ","Chinese",4,23,0
"zubN8Ve_RyoljRZV4NRxEQ","Chinese",3.5,1140,0
"dn8_HgoGUE4IFzwPI6GeLA","Chinese",4,199,0
"zZkplEhRoGcsDxPgXpxEdQ","Chinese",4,16,0
"ayw4_D_wSCIr_xcJ3_aZ4A","Chinese",3.5,30,0
"emaMBqN_eWu71rgnQEnG3g","Chinese",3.5,66,0
"wo7_TKh4B37RTBjPNtkp7w","Szechuan",3.5,32,0
"IqbHVeqgewmbeSMXBhbqSw","Chinese",3.5,214,0
"zPMSuQJRpXi11G_Tqv1LJQ","Chinese",4.5,22,0
"DOa_Hm5HHT99GOvlhbydaQ","Cajun_Creole",4,39,0
"mDajKjZjRN4tVGEJFOgF9w","Chinese",3.5,216,0
"ru9KtvY8f_b2SKrKwtS3CA","Chinese",4,79,0
"x3_DaW2lWCNovheuZV_nAw","Chinese",4,42,0
"_lgNzAEyFr8LCTuBTWnAMg","Dim Sum",4,124,0
"cWPdP8_GqEWxZKRiOonfDg","Chinese",4,30,0
"d6pcRMV1YUDFTKO_p9d_sA","Chinese",4.5,54,0
"Lp8vAE5nHSt5zbu_lSGK8A","Chinese",4,235,0
"yDfgB1nvvuABZVzVjoJV7A","Szechuan",4,58,0
"0odtQty6tMRPQ7UrNysUxw","Chinese",3.5,11,0
"5TnBfeoBpxPPwIXMGBMasg","Chinese",4,52,0
"3kq1_dUIPrA6BFTuX_M6mw","Chinese",4.5,12,0
